Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Group
12346.0,321,12,77556.46,4,5,5,455
12347.0,35,7,5408.5,2,4,5,245
12348.0,71,5,2019.4,3,4,4,344
12349.0,14,4,4428.69,1,3,5,135
12350.0,305,1,334.4,4,1,2,412
12351.0,370,1,300.93,4,1,2,412
12352.0,31,10,2849.84,2,5,4,254
12353.0,199,2,406.76,4,2,2,422
12354.0,228,1,1079.4,4,1,3,413
12355.0,209,2,947.61,4,2,3,423
12356.0,18,6,6373.68,1,4,5,145
12357.0,28,3,18287.66,2,3,5,235
12358.0,146,4,3203.87,3,3,5,335
12359.0,53,10,8935.94,2,5,5,255
12360.0,47,8,4252.89,2,4,5,245
12361.0,282,4,511.25,4,3,2,432
12362.0,31,10,4827.19,2,5,5,255
12363.0,105,2,552.0,3,2,2,322
12364.0,3,4,1313.1,1,3,4,134
12365.0,286,2,641.38,4,2,3,423
12366.0,629,1,500.24,5,1,2,512
12368.0,623,1,917.6999999999999,5,1,3,513
12369.0,409,3,1791.15,5,3,4,534
12370.0,46,7,4320.31,2,4,5,245
12371.0,40,5,4067.38,2,4,5,245
12372.0,67,3,1298.04,3,3,4,334
12373.0,307,3,1127.65,4,3,3,433
12374.0,20,4,2989.2200000000003,2,3,5,235
12375.0,6,2,457.5,1,2,2,122
12376.0,385,2,503.15,4,2,2,422
12377.0,310,4,3426.32,4,3,5,435
12378.0,125,2,5416.32,3,2,5,325
12379.0,77,4,1620.22,3,3,4,334
12380.0,17,11,9676.300000000001,1,5,5,155
12381.0,28,4,1698.3,2,3,4,234
12383.0,180,5,1850.56,3,4,4,344
12384.0,24,2,585.27,2,2,2,222
12385.0,374,1,1938.4,4,1,4,414
12386.0,333,2,660.8,4,2,3,423
12387.0,410,1,143.94,5,1,1,511
12388.0,11,8,3901.11,1,4,5,145
12389.0,398,3,1433.33,4,3,4,434
12390.0,75,1,549.84,3,1,2,312
12391.0,17,6,2773.42,1,4,4,144
12392.0,586,1,234.75000000000003,5,1,1,511
12393.0,67,6,2399.4500000000003,3,4,4,344
12394.0,59,2,1272.48,2,2,4,224
12395.0,14,15,5067.27,1,5,5,155
12396.0,669,1,931.43,5,1,3,513
12397.0,31,2,2409.9,2,2,4,224
12398.0,41,1,1635.6599999999999,2,1,4,214
12399.0,115,7,1962.3,3,4,4,344
12400.0,409,1,205.25,5,1,1,511
12401.0,298,1,84.3,4,1,1,411
12402.0,318,6,1256.9,4,4,4,444
12403.0,45,2,1019.36,2,2,3,223
12404.0,677,1,63.24,5,1,1,511
12405.0,144,1,1710.39,3,1,4,314
12406.0,17,5,6390.36,1,4,5,145
12407.0,45,5,1708.1200000000001,2,4,4,244
12408.0,28,8,4340.7699999999995,2,4,5,245
12409.0,74,7,23419.29,3,4,5,345
12410.0,304,3,1013.71,4,3,3,433
12411.0,405,1,346.9,4,1,2,412
12412.0,70,6,2596.93,3,4,4,344
12413.0,62,4,999.45,3,3,3,333
12414.0,212,6,952.41,4,4,3,443
12415.0,19,28,144458.37,1,5,5,155
12416.0,652,1,202.56,5,1,1,511
12417.0,34,19,6447.18,2,5,5,255
12418.0,108,4,2021.2,3,3,4,334
12419.0,381,2,503.01,4,2,2,422
12420.0,59,1,600.39,2,1,2,212
12421.0,11,6,1098.6,1,4,3,143
12422.0,91,17,5231.8,3,5,5,355
12423.0,96,9,2413.75,3,5,4,354
12424.0,158,4,3340.03,3,3,5,335
12425.0,73,2,1741.41,3,2,4,324
12426.0,190,2,1345.21,3,2,4,324
12427.0,17,3,1129.3,1,3,3,133
12428.0,21,9,7956.46,2,5,5,255
12429.0,4,8,7485.91,1,4,5,145
12430.0,38,1,256.4,2,1,1,211
12431.0,31,27,10857.97,2,5,5,255
12432.0,38,5,5059.32,2,4,5,245
12433.0,4,8,17942.57,1,4,5,145
12434.0,80,3,1103.43,3,3,3,333
12435.0,75,6,13925.93,3,4,5,345
12436.0,95,1,509.01,3,1,2,312
12437.0,4,38,12517.5,1,5,5,155
12438.0,9,2,2906.85,1,2,4,124
12439.0,678,2,1158.18,5,2,3,523
12440.0,458,2,859.2,5,2,3,523
12441.0,362,1,347.1,4,1,2,412
12443.0,727,1,485.31,5,1,2,512
12444.0,16,5,5005.46,1,4,5,145
12445.0,17,2,434.98,1,2,2,122
12446.0,53,1,1002.3100000000001,2,1,3,213
12447.0,238,1,476.49,4,1,2,412
12448.0,39,1,449.45,2,1,2,212
12449.0,17,6,4835.89,1,4,5,145
12450.0,151,5,688.2,3,4,3,343
12451.0,6,8,12669.88,1,4,5,145
12452.0,12,2,430.57,1,2,2,122
12453.0,129,1,707.09,3,1,3,313
12454.0,51,5,16679.78,2,4,5,245
12455.0,68,10,5879.95,3,5,5,355
12456.0,39,3,3181.04,2,3,5,235
12457.0,62,8,2995.91,3,4,5,345
12458.0,66,4,1777.49,3,3,4,334
12459.0,600,1,454.36,5,1,2,512
12460.0,451,1,326.65,5,1,2,512
12461.0,89,2,826.88,3,2,3,323
12462.0,14,2,1189.59,1,2,3,123
12463.0,48,4,1344.78,2,3,4,234
12464.0,5,8,1212.05,1,4,3,143
12465.0,12,2,742.1899999999999,1,2,3,123
12466.0,677,1,56.73,5,1,1,511
12467.0,418,1,132.8,5,1,1,511
12468.0,183,5,3670.74,3,4,5,345
12469.0,518,2,3070.54,5,2,5,525
12470.0,685,1,211.95,5,1,1,511
12471.0,6,78,37725.28,1,5,5,155
12472.0,27,19,17880.59,2,5,5,255
12473.0,24,5,3938.5499999999997,2,4,5,245
12474.0,12,31,12424.45,1,5,5,155
12475.0,49,2,1149.64,2,2,3,223
12476.0,11,23,14115.41,1,5,5,155
12477.0,18,9,20276.37,1,5,5,155
12479.0,6,1,527.2,1,1,2,112
12480.0,23,7,5464.85,2,4,5,245
12481.0,18,15,12361.39,1,5,5,155
12482.0,571,29,23691.4,5,5,5,555
12483.0,12,19,5120.58,1,5,5,155
12484.0,28,12,6370.15,2,5,5,255
12485.0,524,1,708.1,5,1,3,513
12486.0,427,1,1037.28,5,1,3,513
12487.0,726,1,285.29999999999995,5,1,1,511
12488.0,5,3,1298.66,1,3,4,134
12489.0,332,1,334.93,4,1,2,412
12490.0,13,20,9361.34,1,5,5,155
12491.0,34,1,460.40000000000003,2,1,2,212
12492.0,58,3,715.21,2,3,3,233
12493.0,161,2,433.74,3,2,2,322
12494.0,11,9,1872.8700000000001,1,5,4,154
12495.0,636,1,357.4,5,1,2,512
12496.0,615,2,54.09,5,2,1,521
12497.0,77,3,6248.5,3,3,5,335
12498.0,17,3,403.70000000000005,1,3,2,132
12499.0,555,1,393.72,5,1,2,512
12500.0,18,19,5955.21,1,5,5,155
12501.0,332,1,2169.39,4,1,4,414
12502.0,91,5,3723.87,3,4,5,345
12503.0,579,1,1126.0,5,1,3,513
12504.0,13,4,779.05,1,3,3,133
12505.0,404,1,955.2,4,1,3,413
12506.0,228,1,73.5,4,1,1,411
12507.0,129,4,1844.06,3,3,4,334
12508.0,21,2,398.27,2,2,2,222
12509.0,279,1,176.5,4,1,1,411
